LIFESTAGE,PREMIUM_CUSTOMER,PROD_NAME,TOT_SALES
YOUNG SINGLES/COUPLES,Mainstream,SmithsCrnkleChipOrgnlBigBag380g,3516.4
YOUNG SINGLES/COUPLES,Mainstream,SmithsCrinkleChipsSaltVinegar330g,3317.4
OLDER FAMILIES,Budget,SmithsCrinkleChipsSaltVinegar330g,3186.3
OLDER FAMILIES,Budget,SmithsCrnkleChipOrgnlBigBag380g,2991.3
RETIREES,Mainstream,SmithsCrnkleChipOrgnlBigBag380g,2755.3
YOUNG SINGLES/COUPLES,Mainstream,DoritosCornChipsCheeseSupreme170g,2732.4
OLDER SINGLES/COUPLES,Budget,SmithsCrnkleChipOrgnlBigBag380g,2684.5
RETIREES,Mainstream,SmithsCrinkleChipsSaltVinegar330g,2633.4
YOUNG SINGLES/COUPLES,Mainstream,DoritosCornChipsOriginal170g,2521.2000000000003
YOUNG FAMILIES,Budget,SmithsCrnkleChipOrgnlBigBag380g,2507.5
YOUNG FAMILIES,Budget,SmithsCrinkleChipsSaltVinegar330g,2502.3
OLDER SINGLES/COUPLES,Budget,SmithsCrinkleChipsSaltVinegar330g,2502.3
OLDER SINGLES/COUPLES,Mainstream,SmithsCrnkleChipOrgnlBigBag380g,2495.7000000000003
OLDER SINGLES/COUPLES,Premium,SmithsCrinkleChipsSaltVinegar330g,2456.7000000000003
OLDER FAMILIES,Budget,DoritosCornChipsCheeseSupreme170g,2455.2000000000003
YOUNG SINGLES/COUPLES,Mainstream,DoritosCornChipsNachoCheese170g,2415.6000000000004
OLDER SINGLES/COUPLES,Premium,SmithsCrnkleChipOrgnlBigBag380g,2348.2000000000003
RETIREES,Mainstream,DoritosCornChipsNachoCheese170g,2332.0
YOUNG SINGLES/COUPLES,Mainstream,TostitosSmokedChipotle175g,2279.2000000000003
RETIREES,Mainstream,DoritosCornChipsCheeseSupreme170g,2274.8
RETIREES,Budget,SmithsCrnkleChipOrgnlBigBag380g,2271.5
OLDER SINGLES/COUPLES,Mainstream,SmithsCrinkleChipsSaltVinegar330g,2223.0
RETIREES,Budget,SmithsCrinkleChipsSaltVinegar330g,2217.3
RETIREES,Mainstream,DoritosCornChipsOriginal170g,2142.8
YOUNG SINGLES/COUPLES,Mainstream,DoritosCornChipMexicanJalapeno150g,2113.7999999999997
YOUNG SINGLES/COUPLES,Mainstream,CobsPopdSourCrmChivesChips110g,2112.7999999999997
